;;Catálogo de indicadores económicos disponibles a consultar;
22926;                         Productos Pecuarios;Productos pecuarios;Mensual
22927;                         Granos Básicos;Granos Básicos;Mensual
22928;                         Resto;Resto;Mensual
3010;                    Industria manufacturera;Industria manufacturera;Mensual
22929;                         Perfeccionamiento Activo;Perfeccionamiento Activo;Mensual
22930;                         Zona Franca;Zona Franca;Mensual
22932;                         Definitivo;Definitivo;Mensual
22933;                              Productos alimenticios, bebidas y tabaco;Productos alimenticios, bebidas y tabaco;Mensual
22934;                              Textiles, prendas de vestir e industria del cuero;Textiles, prendas de vestir e industria del cuero;Mensual
22935;                              Industrias metálicas básicas;Industrias metálicas básicas;Mensual
22936;                              Fabricación de productos metálicos, maquinaria y equipo;Fabricación de productos metálicos, maquinaria y equipo;Mensual
22942;                              Productos alimenticios, bebidas y tabaco;Productos alimenticios, bebidas y tabaco;Mensual
22943;                              Textiles, prendas de vestir e industria del cuero;Textiles, prendas de vestir e industria del cuero;Mensual
22944;                              Industrias metálicas básicas;Industrias metálicas básicas;Mensual
22945;                              Fabricación de productos metálicos, maquinaria y equipo;Fabricación de productos metálicos, maquinaria y equipo;Mensual
22955;                              Ind. de la madera y prod. madera, in. los muebles;Ind. de la madera y prod. madera, in. los muebles;Mensual
22956;                              Fabde papel y prod de papel, impr y edit;Fabde papel y prod de papel, impr y edit;Mensual
22957;                              Fab de sust quím y der del pet y del carbón;Fab de sust quím y der del pet y del carbón;Mensual
22958;                              Fab. de prod. min. no mets;Fab. de prod. min. no mets;Mensual
22959;                              Ind. de la madera y prod. madera, in. los muebles;Ind. de la madera y prod. madera, in. los muebles;Mensual
22960;                              Fabde papel y prod de papel, impr y edit;Fabde papel y prod de papel, impr y edit;Mensual
22961;                              Fab de sust quím y der del pet y del carbón;Fab de sust quím y der del pet y del carbón;Mensual
22962;                              Fab. de prod. min. no mets;Fab. de prod. min. no mets;Mensual
